periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2014-07-01,113652.375,149731.4290000001,42954.77,4151.5,76796.44499999998,116061.846,70880.16999999998,205936.629,82108.50900000003,166941.61,324120.9209999999,24814.188,36322.01499999998,1082.588,1415554.995
2014-08-01,110442.722,146367.9430000001,45538.065,3381.2,77651.67600000001,115063.596,72421.57399999998,205330.7609999999,82283.39100000006,172545.241,295403.176,24076.451,35530.73099999999,1073.542,1387110.069
2014-09-01,106684.101,140813.3800000001,50423.12500000001,3562.6,76868.01999999999,118438.7439999999,69789.016,221904.863,87236.14299999997,174723.5789999999,287646.1989999999,24498.28199999999,37319.29700000001,1029.33,1400936.679
2014-10-01,115426.099,147576.761,53829.56400000001,3757.6,77063.281,120968.84,68222.394,230324.688,91175.89899999993,184973.6179999999,304203.442,25253.952,39191.43800000001,1117.022,1463084.598
2014-11-01,93913.85900000004,141797.5030000001,54192.033,3651.5,76504.12100000006,110427.9890000001,64480.54599999999,217846.9390000001,86311.99999999994,180288.596,318139.0739999999,24300.297,39209.33700000001,1088.835,1412152.629
2014-12-01,90395.90200000002,142301.1140000001,57552.226,3971.5,65475.98400000005,110488.096,66049.10899999998,222047.477,80071.34500000003,178104.9020000001,288432.0300000001,23014.062,35868.856,1195.974,1364968.577
2015-01-01,92475.633,147262.775,58249.36200000002,4293.8,59951.86500000003,109809.6849999999,69794.73500000002,226044.0829999997,76524.531,166865.5520000001,214846.364,21589.396,30780.179,1168.424,1279656.384
2015-02-01,93796.86499999998,146723.0420000001,50017.43300000001,4273.55,67781.46200000001,107168.703,64429.19700000001,199868.0139999999,81060.478,155879.926,225829.0550000001,22366.52799999999,36085.18800000002,1323.364,1256602.805
2015-03-01,99258.87799999998,158841.889,54103.77299999999,4931.1,76558.47900000008,118042.16,71199.083,230557.7149999999,86105.92900000003,177767.8060000001,257350.006,24866.669,39774.76899999999,1140.174,1400498.43
2015-04-01,117622.9589999999,153355.8519999999,51548.56200000001,4803.81,75483.84899999996,117586.725,69871.85700000002,223282.2750000001,85915.36799999997,180458.3039999999,234309.845,24890.21,38266.98199999998,1200.167,1378596.765
2015-05-01,87894.82100000003,150822.501,47391.92499999999,4787.1,76365.67900000005,116268.164,72303.01000000001,226539.083,85809.99500000005,186022.558,247147.0910000001,24933.89100000001,38065.59900000001,1137.415,1365488.832
2015-06-01,116394.1829999999,143802.906,42342.421,4504,77057.87999999992,116077.39,66687.83099999999,211255.1179999999,86771.36599999998,182599.162,274996.334,25651.801,41026.252,1147.795,1390314.439
2015-07-01,121578.81,145810.985,44613.90200000001,3988.059999999999,77293.64800000004,123635.628,68866.91800000001,188923.5360000001,86224.985,177686.916,269931.9920000001,26466.629,40253.249,1185.387,1376460.645
2015-08-01,120394.744,142985.248,46523.825,3794.48,77410.32099999998,116032.264,66904.57500000001,210721.6250000001,87053.639,173393.296,301705.4540000001,25280.273,39566.38699999998,1130.832,1412896.963
2015-09-01,111927.62,142238.4889999999,48865.23599999999,3833.75,78596.83200000001,117812.6359999999,69612.53299999998,205832.3450000001,87671.192,185025.4519999999,263774.6139999999,26138.327,40911.62900000001,1203.422,1383444.077
