id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
OKB,OKB,OKB,OKEx Utility Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OKB.png,active,12.15929568,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,256388091,300000000,3117498612,0.0034,55,224,9,2017-07-09T00:00:00Z,2019-06-13T00:00:00Z,2019-02-14T00:00:00Z,23,0,42.42020487,2021-05-02T00:00:00Z,13220817.20,0.0098052171,0.0008,2264039.32,0.2066,2513940.90,0.0008,ETH,
CRO,CRO,CRO,Cronos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cro.jpg,active,0.11627683,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,25263013692,30263013692,2937503252,0.0032,87,318,161,2019-03-07T00:00:00Z,2019-03-08T00:00:00Z,2019-03-08T00:00:00Z,24,0,0.88827983,2021-11-23T00:00:00Z,65237535.39,-0.0036962447,-0.0308,8818616.37,0.1563,-93378280.51,-0.0308,ETH,
LINK,LINK,LINK,ChainLink,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LINK.jpg,active,6.15072939,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,467099971,1000000000,2873005515,0.0031,284,3502,66,2017-07-09T00:00:00Z,2017-09-28T00:00:00Z,2018-08-29T00:00:00Z,25,0,52.36611892,2021-05-09T00:00:00Z,625323107.97,-0.30230140,-0.0468,-190899189.19,-0.2339,-141204975.24,-0.0468,ETH,
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.10764031,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,25034074193,50001787710,2694675433,0.0029,202,687,113,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,26,0,0.89933161,2018-01-03T00:00:00Z,297760136.98,-0.0076301064,-0.0662,24641858.20,0.0902,-191012696.50,-0.0662,XLM,
NEAR,NEAR,NEAR,Near Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/NEAR.jpg,active,3.32274684,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,723179291,1000000000,2402941707,0.0026,90,215,227,2020-09-27T00:00:00Z,2020-10-14T00:00:00Z,2020-09-30T00:00:00Z,27,0,20.26440510,2022-01-14T00:00:00Z,809944984.04,-0.18739536,-0.0534,7774446.61,0.0097,-133336098.16,-0.0526,,2020-10-28T18:45:07.594685Z
UNI,UNI,UNI,Uniswap Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UNISWAP.svg,active,5.07726621,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,465524326,1000000000,2363590930,0.0026,208,1111,114,2019-06-03T00:00:00Z,2020-09-17T00:00:00Z,2019-10-11T00:00:00Z,28,0,43.21575205,2021-05-04T00:00:00Z,231278117.85,0.052705781,0.0105,29722308.04,0.1475,24539846.52,0.0105,ETH,
ALGO,ALGO,ALGO,Algorand,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ALGO.png,active,0.29779505,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,7272675958,10000000000,2165766933,0.0024,116,277,24,2019-06-19T00:00:00Z,2019-06-21T00:00:00Z,2019-06-19T00:00:00Z,29,0,2.94273634,2019-06-19T00:00:00Z,290456004.51,-0.018581013,-0.0587,20436415.08,0.0757,-135133683.46,-0.0587,,
ATOM,ATOM,ATOM,Cosmos,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/atom.jpg,active,7.35083649,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,292586164,,2150753051,0.0023,135,488,119,2017-07-09T00:00:00Z,2019-04-22T00:00:00Z,2019-03-14T00:00:00Z,30,0,44.20412966,2021-09-19T00:00:00Z,379616996.33,-0.055763151,-0.0075,-25121959.64,-0.0621,-16315526.33,-0.0075,,
XMR,XMR,XMR,Monero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmr.svg,active,117.80199905,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,18141245,,2137074924,0.0023,147,578,126,2014-05-19T00:00:00Z,2014-05-19T00:00:00Z,2018-08-29T00:00:00Z,31,0,484.72951069,2021-05-09T00:00:00Z,139353237.97,-1.40909119,-0.0118,11799946.19,0.0925,-25513172.03,-0.0118,,
ETC,ETC,ETC,Ethereum Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etc.svg,active,14.95217749,2022-06-30T00:00:00Z,2022-06-30T02:25:00Z,135557230,210700000,2026875763,0.0022,181,834,2,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z,2018-08-29T00:00:00Z,32,0,134.79872141,2021-05-06T00:00:00Z,225146961.66,-0.69570314,-0.0445,-47328395.18,-0.1737,-94053359.79,-0.0443,,
